,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
460,BRASOV,EDP Hijab Perfumes,Sulthan,4.5,12,EDP Hijab Perfumes Sulthan
461,Tous,Touch,Fresh floral,4.33,12,Touch Fresh floral
462,Britney Spears,Curious,Fruity Floral,4.1,12,Curious Fruity Floral
463,ZARA,White Jasmine Eau de Parfum,,4.6,12,White Jasmine Eau de Parfum
464,Evangeline,Eau De Perfume Zodiac Series,Taurus,4.4,12,Eau De Perfume Zodiac Series Taurus
465,Hermes,Jour d’Hermès,,4.8,12,Jour d’Hermès
466,Kitschy,Feels Memory Lane Extrait de Parfum,,4.8,12,Feels Memory Lane Extrait de Parfum
467,Morris,Glam EDP,Pure Romantic,4.7,12,Glam EDP Pure Romantic
468,Carl & Claire,Sovereign EDP,,4.4,12,Sovereign EDP
469,ZARA,Powdery Magnolia,"Rose, Floral, Musky",4.58,12,"Powdery Magnolia Rose, Floral, Musky"
470,Estee Lauder,Modern Muse,Eau de Parfum,4.0,12,Modern Muse Eau de Parfum
471,Mother of Pearl,Mother Of Perfumery,Butterfly Kiss,4.4,12,Mother Of Perfumery Butterfly Kiss
472,Careso,Eau De Parfume,Jasmine Blossoms,4.5,12,Eau De Parfume Jasmine Blossoms
473,Marc Jacobs,Lola,,4.3,11,Lola
474,Mykonos,Bloody Mary EDP,,4.55,11,Bloody Mary EDP
475,Evangeline,Selection Eau De Parfum,Royal Lavender,3.9,11,Selection Eau De Parfum Royal Lavender
476,Jarte Beauty,Close To Skin Eau De Parfum X Amelia Bunjamin,,4.6,11,Close To Skin Eau De Parfum X Amelia Bunjamin
477,ZARA,Fields at Nightfall,,4.7,11,Fields at Nightfall
478,Burberry,My Burberry,Floral,4.4,11,My Burberry Floral
479,Paris Hilton,Can Can,,4.5,11,Can Can
480,Victoria's Secret,Scandalous EDP Rollerball,,4.6,11,Scandalous EDP Rollerball
481,BRASOV,EDP Hijab Perfumes,Aqila,3.7,11,EDP Hijab Perfumes Aqila
482,Hermes,Twilly d'Hermes Eau Poivree,,4.5,11,Twilly d'Hermes Eau Poivree
483,Salsa Cosmetic,Salsa Eau De Parfume,North Peony - Fresh Powdery Scent,4.4,11,Salsa Eau De Parfume North Peony - Fresh Powdery Scent
484,Evangeline,Eau De Perfume Bloom Series,Coco,4.6,11,Eau De Perfume Bloom Series Coco
485,HINT,Velvet EDP,,4.9,11,Velvet EDP
486,Dior,Maison Christian Dior Lucky EDP,,4.8,11,Maison Christian Dior Lucky EDP
487,Project 1945,Sunset in Sumba EDP,,4.9,11,Sunset in Sumba EDP
488,Mykonos,Tea Poetry Extrait De Parfum,,4.3,11,Tea Poetry Extrait De Parfum
489,Sea Gypsy,Sea Gypsy,Citrus,4.3,11,Sea Gypsy Citrus
490,Kitschy,Feels Day Dream Extrait de Parfum,,4.18,11,Feels Day Dream Extrait de Parfum
491,Issey Miyake,L’Eau D’Issey Pure Nectar de Perfume,,3.9,11,L’Eau D’Issey Pure Nectar de Perfume
492,Jean Paul Gaultier,Scandal by Night,,4.6,11,Scandal by Night
493,USUAL/SCENTLAB,Eau De Parfum,NOTHING,4.7,11,Eau De Parfum NOTHING
494,Mykonos,Hawaiian Crush,,4.3,11,Hawaiian Crush
495,HMNS Perfume,Untitled Humans,,4.5,11,Untitled Humans
496,Jimmy Choo,FLASH,,4.7,11,FLASH
497,Versace,Crystal Noir,,4.18,11,Crystal Noir
498,Avicenna,Glam,,4.0,11,Glam
499,NCLA,MADAME SIGNORA,,4.9,11,MADAME SIGNORA
500,Dior,Christian dior,Sakura,4.3,11,Christian dior Sakura
501,Evangeline,Premium Eau De Parfum,Black Opi,4.5,11,Premium Eau De Parfum Black Opi
502,Mine.,Sakura Sake,,4.4,11,Sakura Sake
